Role Track,Job Title,Company,Location,Link,Status
Project Management,PCO / PMO Analyst,Kumaran Systems,India,https://in.linkedin.com/jobs/view/pco-pmo-analyst-at-kumaran-systems-4456463439?position=1&pageNum=0&refId=Hw%2BQiLK4gSck1OsQ7YojRQ%3D%3D&trackingId=KEgeIoWel7ECcZfXPt03%2Fw%3D%3D,Not Applied
Project Management,PMO Analyst,IDBS,India,https://in.linkedin.com/jobs/view/pmo-analyst-at-idbs-4466285003?position=2&pageNum=0&refId=Hw%2BQiLK4gSck1OsQ7YojRQ%3D%3D&trackingId=YIZEmaI9fPMuz76iu0TpHA%3D%3D,Not Applied
Project Management,Project Coordinator,Ethics Infotech,India,https://in.linkedin.com/jobs/view/project-coordinator-at-ethics-infotech-4451515533?position=3&pageNum=0&refId=Hw%2BQiLK4gSck1OsQ7YojRQ%3D%3D&trackingId=WCnueKQoqkq%2BGLkWFJ7RLg%3D%3D,Not Applied
Presales,Pre Sales Manager IT Services,VRSamadhan,India,https://in.linkedin.com/jobs/view/pre-sales-manager%0Ait-services-at-vrsamadhan-4204750982?position=1&pageNum=0&refId=WFrhLWwn%2F10MPSLsT7%2BjBw%3D%3D&trackingId=FhNIUDhisQiNTKTtAxJqow%3D%3D,Not Applied
Presales,Technical Pre-Sales Manager,iTCart,India,https://in.linkedin.com/jobs/view/technical-pre-sales-manager-at-itcart-4450398305?position=2&pageNum=0&refId=WFrhLWwn%2F10MPSLsT7%2BjBw%3D%3D&trackingId=U9fKcVfojx2hDTIo658O1w%3D%3D,Not Applied
Presales,Presales Manager,ThoughtFocus,India,https://in.linkedin.com/jobs/view/presales-manager-at-thoughtfocus-4463822507?position=3&pageNum=0&refId=WFrhLWwn%2F10MPSLsT7%2BjBw%3D%3D&trackingId=Ad97AxscyAB3Bsk8U8eIaw%3D%3D,Not Applied
